Rank,Team,Accurate Long Balls per Match,Successful Long Balls (%),Matches,Country
1,SV Darmstadt,29.9,45.7,34,GER
2,Borussia Dortmund,29.6,55.6,34,GER
3,VfL Bochum,29.4,41.7,34,GER
4,Werder Bremen,29.0,49.5,34,GER
5,FC Heidenheim,28.6,44.8,34,GER
6,TSG Hoffenheim,26.9,46.9,34,GER
7,Union Berlin,26.9,44.4,34,GER
8,Mainz 05,25.6,40.9,34,GER
9,VfB Stuttgart,24.7,49.9,34,GER
10,Wolfsburg,24.6,44.6,34,GER
11,FC Augsburg,24.4,44.3,34,GER
12,SC Freiburg,23.6,41.7,34,GER
13,Bayern München,22.3,58.6,34,GER
14,RB Leipzig,21.8,49.5,34,GER
15,Bayer Leverkusen,21.5,57.0,34,GER
16,Eintracht Frankfurt,21.3,38.8,34,GER
17,Borussia Mönchengladbach,21.0,43.0,34,GER
18,FC Köln,20.7,41.6,34,GER
