Rank,Team,Expected Goals Conceded,Goals Conceded,Matches,Country
1,SV Darmstadt,74.2,86.0,34,GER
2,FC Köln,66.1,60.0,34,GER
3,VfL Bochum,64.9,74.0,34,GER
4,FC Heidenheim,62.9,55.0,34,GER
5,TSG Hoffenheim,61.7,66.0,34,GER
6,FC Augsburg,59.2,60.0,34,GER
7,Werder Bremen,57.0,54.0,34,GER
8,Borussia Mönchengladbach,54.8,67.0,34,GER
9,Borussia Dortmund,53.3,43.0,34,GER
10,Eintracht Frankfurt,52.5,50.0,34,GER
11,Union Berlin,51.3,58.0,34,GER
12,SC Freiburg,50.9,58.0,34,GER
13,Mainz 05,45.5,51.0,34,GER
14,Wolfsburg,45.3,56.0,34,GER
15,RB Leipzig,40.9,39.0,34,GER
16,VfB Stuttgart,38.5,39.0,34,GER
17,Bayern München,32.3,45.0,34,GER
18,Bayer Leverkusen,30.2,24.0,34,GER
