Rank,Team,Penalties Conceded,Penalty Goals Conceded,Matches,Country
1,Eintracht Frankfurt,11.0,9.0,34,GER
1,VfL Bochum,11.0,9.0,34,GER
3,FC Augsburg,10.0,7.0,34,GER
3,FC Heidenheim,10.0,7.0,34,GER
5,Union Berlin,7.0,5.0,34,GER
6,Borussia Mönchengladbach,6.0,6.0,34,GER
6,Werder Bremen,6.0,6.0,34,GER
8,Borussia Dortmund,6.0,5.0,34,GER
9,RB Leipzig,5.0,4.0,34,GER
10,SC Freiburg,5.0,3.0,34,GER
11,TSG Hoffenheim,5.0,2.0,34,GER
12,Bayern München,4.0,3.0,34,GER
12,Mainz 05,4.0,3.0,34,GER
14,FC Köln,3.0,3.0,34,GER
14,VfB Stuttgart,3.0,3.0,34,GER
16,Wolfsburg,3.0,2.0,34,GER
17,SV Darmstadt,2.0,1.0,34,GER
