Rank,Team,Possession (%),Matches,Country
1,Bayer Leverkusen,62.0,34,GER
2,Bayern München,61.5,34,GER
3,VfB Stuttgart,60.2,34,GER
4,Borussia Dortmund,58.3,34,GER
5,RB Leipzig,55.5,34,GER
6,Eintracht Frankfurt,52.1,34,GER
7,TSG Hoffenheim,49.7,34,GER
8,Wolfsburg,48.1,34,GER
9,Werder Bremen,46.9,34,GER
10,Borussia Mönchengladbach,46.8,34,GER
11,SC Freiburg,46.4,34,GER
12,VfL Bochum,46.3,34,GER
13,FC Köln,46.3,34,GER
14,Mainz 05,45.9,34,GER
15,SV Darmstadt,45.7,34,GER
16,FC Augsburg,43.6,34,GER
17,Union Berlin,42.6,34,GER
18,FC Heidenheim,42.1,34,GER
