Rank,Team,Touches in Opposition Box,Matches,Country
1,Bayern München,1324.0,34,GER
2,Bayer Leverkusen,1266.0,34,GER
3,RB Leipzig,989.0,34,GER
4,VfB Stuttgart,964.0,34,GER
5,Borussia Dortmund,946.0,34,GER
6,Eintracht Frankfurt,869.0,34,GER
7,Mainz 05,852.0,34,GER
8,FC Augsburg,838.0,34,GER
9,VfL Bochum,827.0,34,GER
10,TSG Hoffenheim,794.0,34,GER
11,Borussia Mönchengladbach,756.0,34,GER
12,Union Berlin,731.0,34,GER
13,Werder Bremen,721.0,34,GER
14,FC Köln,700.0,34,GER
15,Wolfsburg,689.0,34,GER
16,SC Freiburg,682.0,34,GER
17,FC Heidenheim,660.0,34,GER
18,SV Darmstadt,586.0,34,GER
